corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
persian	g2-f-04	0001	#	#	#	#				
persian	g2-f-04	0001	Film	Film	np:a	np		a		
persian	g2-f-04	0001	masalan	for.example	other	other				
persian	g2-f-04	0001	dāšt	AUX.PST.3SG	aux	aux				
persian	g2-f-04	0001	yek	one	ln_deti	ln_deti				
persian	g2-f-04	0001	zendegie	life=EZAFE	np:p	np		p		
persian	g2-f-04	0001	rustāyi	rural	rn_lex	rn_lex				
persian	g2-f-04	0001	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-f-04	0001	nesān	showing	other:lvc	other		lvc		
persian	g2-f-04	0001	midād	give.PST.IPFV.3SG	v:pred	v		pred		
persian	g2-f-04	0002	#	#	#	#				
persian	g2-f-04	0002	ke	that	ke	ke				
persian	g2-f-04	0002	yek	one	ln_deti	ln_deti				
persian	g2-f-04	0002	āqāyi	man.INDF	np.h:a	np	h	a		
persian	g2-f-04	0002	masalan	for.example	other	other				
persian	g2-f-04	0002	mašqule	busy	other:lvc	other		lvc		
persian	g2-f-04	0002	čidane	picking	vother	vother				
persian	g2-f-04	0002	sib	apple	np:p	np		p		
persian	g2-f-04	0002	yā	or	other	other				
persian	g2-f-04	0002	golābi	pear	other	other				
persian	g2-f-04	0002	bud	be.PST.3SG	v:pred	v		pred		
persian	g2-f-04	0002	#	#	#	#				
persian	g2-f-04	0002	0	0	0.1:s_cp	0	1	s_cp		
persian	g2-f-04	0002	fekr	thought	other:lvc	other		lvc		
persian	g2-f-04	0002	konam	do.PRS.1SG	v:pred	v		pred		
persian	g2-f-04	0003	#	#	#	#				
persian	g2-f-04	0003	bad	then	other	other				
persian	g2-f-04	0003	ke	that	ke	ke				
persian	g2-f-04	0003	pesarbače	little.boy	np.h:s	np	h	s		
persian	g2-f-04	0003	bā	with	adp	adp				
persian	g2-f-04	0003	dočarxe	bike	np:obl	np		obl		
persian	g2-f-04	0003	=aš	=POSS.3SG	=rn_pro.h:poss	=rn_pro	h	poss		
persian	g2-f-04	0003	az	from	adp	adp				
persian	g2-f-04	0003	ānjā	there	other:l	other		l		
persian	g2-f-04	0003	rad	passing	other:lvc	other		lvc		
persian	g2-f-04	0003	mišavad	become.PRS.IND.3SG	v:pred	v		pred		
persian	g2-f-04	0003	#	#	#	#				
persian	g2-f-04	0003	0	0	0.h:a	0	h	a		
persian	g2-f-04	0003	yek	one	ln_deti	ln_deti				
persian	g2-f-04	0003	sabad	basket	np:p	np		p		
persian	g2-f-04	0003	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-f-04	0003	barmidārad	pick.PRS.IND.3SG	v:pred	v		pred		
persian	g2-f-04	0003	#	#	#	#				
persian	g2-f-04	0003	0	0	0.h:a	0	h	a		
persian	g2-f-04	0003	bā	with	adp	adp				
persian	g2-f-04	0003	xod	self	refl.h:obl	refl	h	obl		
persian	g2-f-04	0003	=aš	=POSS.3SG	=rn_pro.h:poss	=rn_pro	h	poss		
persian	g2-f-04	0003	0	0	0:p	0		p		
persian	g2-f-04	0003	mibarad	take.PRS.IND.3SG	v:pred	v		pred		
persian	g2-f-04	0004	#	#	#	#				
persian	g2-f-04	0004	bad	then	other	other				
persian	g2-f-04	0004	jolotar	further	other	other				
persian	g2-f-04	0004	ān	that	ln_dem	ln_dem				
