ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID
g1-f-01_0001,mcpersian,yek āghayi dāšte az deraxt golābi mičide,#	yek	āghayi	dāšte	az	deraxt	golābi	mičide,#	one	man.INDF	AUX.PST.3SG	from	tree	pear	pick.PST.IPFV.3SG,A man was picking pears from a tree,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,1277,6701,#	ln_deti	np.h:a	aux	adp	np:obl	np:p	v:pred,,g1-f-01
g1-f-01_0002,mcpersian,bad az deraxt miāyad payin sabade golābihā rā migozārad ān pāyin az tuye pišbandaš dar miyāvarad golābihā rā,#	bad	0	az	deraxt	miāyad	pāyin	#	0	sabade	golābihā	=rā	migozārad	ān	pāyin	#	0	az	tuye	pišband	=aš	darmiyāvarad	golābihā	=rā,#	then	0	from	tree	come.PRS.IND.3SG	down	#	0	basket=EZAFE	pear.PL	=ACC	put.PRS.IND.3SG	that	down	#	0	from	inside	apron	=POSS.3SG	take.out.PRS.IND.3SG	pear.PL	=ACC,"Then he climbes down the tree, puts he basket of pears down, takes out the pears from his cloth",en,WORD_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,6701,12891,#	other	0.h:s	adp	np:l	v:pred	rv	#	0.h:a	np:p	rn_lex	=rn_acc	v:pred	ln_dem	np:l	#	0.h:a	adp	adp	np:l	=rn_pro.h:poss	v:pred	np:p	=rn_acc,,g1-f-01
g1-f-01_0003,mcpersian,mirizad tuye sabad,#	0	mirizad	tuye	sabad	0,#	0	spill.PRS.IND.3SG	inside	basket	0,puts them in the basket,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,12891,14213,#	0.h:a	v:pred	adp	np:g	0:p,,g1-f-01
g1-f-01_0004,mcpersian,bad yekiš rā barmidārad mimālad be pirāhanaš ke boxorad,#	bad	0	yeki	=š	=rā	barmidārad	#	0	mimālad	0	be	pirāhan	=aš	#	ke	0	boxorad	0,#	then	0	one	=POSS.3SG	=ACC	pick.up.PRS.IND.3SG	#	0	rub.PRS.IND.3SG	0	to	shirt	=POSS.3SG	#	that	0	eat.PRS.SBJV.3SG	0,"then he picks one of them, cleans it with his shirt in order to eat it",en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,14213,17262,#	other	0.h:a	indef_other:p	=rn_pro:poss	=rn_acc	v:pred	#	0.h:a	v:pred	0:p	adp	np:obl	=rn_pro.h:poss	#cc	ke	0.h:a	v:pred	0:p,,g1-f-01
g1-f-01_0005,mcpersian,yek āghāyi ham az ān kenār dāšte rad mišode dāšte gusfandaš bozaš rā miborde čerā,#	yek	āghāyi	ham	az	ān	kenār	dāšte	rad	mišode	#	0	dāšte	gusfand	=aš	boz	=aš	=rā	miborde	čerā,#	one	man.INDF	add	from	that	side	AUX.PST.3SG	passing	become.PST.IPFV.3SG	#	0	AUX.PST.3SG	sheep	=POSS.3SG	goat	=POSS.3SG	=ACC	take.PST.IPFV.3SG	grazing,another man was passing and he was grazing his sheep or his goats,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,17262,23808,#	ln_deti	np.h:s	other	adp	ln_dem	np:l	aux	other:lvc	v:pred	#	0.h:a	aux	np:p	=rn_pro.h:poss	other	other	=rn_acc	v:pred	other:lvc,,g1-f-01
g1-f-01_0006,mcpersian,bad in āgha dobāre miravad bālāye deraxt ke golābi bečinad yek pesar bačeyi bā dočarxe miāyād,#	bad	in	āgha	dobāre	miravad	bālāye	deraxt	#	ke	0	golābi	bečinad	#	yek	pesarbačeyi	bā	dočarxe	miāyād,#	then	this	man	again	go.PRS.IND.3SG	top.of	tree	#	that	0	pear	pick.PRS.SBJV.3SG	#	one	little.boy.INDF	with	bike	come.PRS.IND.3SG,then he climbes up the tree again to pick pears. A boy comes on his bike.,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,23808,31714,#	other	ln_dem	np.h:s	other	v:pred	adp	np:l	#cc	ke	0.h:a	np:p	v:pred	#	ln_deti	np.h:s	adp	np:obl	v:pred,,g1-f-01
g1-f-01_0007,mcpersian,in pesarbače barmidārad sabade golābihā rā migozārad jeloye dočarxeaš,#	in	pesarbače	barmidārad	sabade	golābihā	=rā	#	0	migozārad	0	jeloye	dočarxe	=aš,#	this	little.boy	pick.up.PRS.IND.3SG	basket=EZAFE	pear.PL	=ACC	#	0	put.PRS.IND.3SG	0	front.of	bike	=POSS.3SG,the boy takes the basket of pears and puts it in the front of his bike,en,WORD_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,31714,39089,#	ln_dem	np.h:a	v:pred	np:p	rn_lex	=rn_acc	#	0.h:a	v:pred	0:p	adp	np:l	=rn_pro.h:poss,,g1-f-01
g1-f-01_0008,mcpersian,miravad,#	0	miravad,#	0	go.PRS.IND.3SG,and he goes away,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,39089,41220,#	0.h:s	v:pred,,g1-f-01
g1-f-01_0009,mcpersian,Tuye rāh ke dāšte mirafte yek dočarxesavāre digar az kenāraš rad mišavad In havāsaš part mišavad čarxe dočarxeaš miravad ruye sang,#	Tuye	rāh	ke	0	dāšte	mirafte	#	yek	dočarxesavāre	digar	az	kenār	=aš	rad	mišavad	#	In	havās	=aš	part	mišavad	#	čarxe	dočarxe	=aš	miravad	ruye	sang,#	inside	way	that	0	AUX.PST.3SG	go.PST.IPFV.3SG	#	one	bike.rider	another	from	side	=POSS.3SG	passing	become.PRS.IND.3SG	#	this	attention	=POSS.3SG	distracted	become.PRS.IND.3SG	#	wheel=EZAFE	bike	=POSS.3SG	go.PRS.IND.3SG	on	stone,"on his way while another bike is crossing right beside him, he gets distracted and his bike hits a stone",en,WORD_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,41220,47810,#	adp	np:l	ke	0.h:s	aux	v:pred	#	ln_deti	np.h:s	rn_lex	adp	adp	=pro.h:l	other:lvc	v:pred	#	pro.h:ncs	other:lvc	=rn_pro.h:poss	other:lvc	v:pred	#	np:s	rn_np:poss	=rn_pro.h:poss	v:pred	adp	np:l,,g1-f-01
g1-f-01_0010,mcpersian,Dočarxe barmigardad hameye golābihā mirizad,#	Dočarxe	barmigardad	#	hameye	golābihā	mirizad,#	bike	fall.PRS.IND.3SG	#	all.of	pear.PL	spill.PRS.IND.3SG,it falls and all the pears spill out,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,47810,51426,#	np:s	v:pred	#	ln_qu	np:s	v:pred,,g1-f-01
g1-f-01_0011,mcpersian,Se tā pesar bače dāštand ānjā bāzi mikardand,#	Se	tā	pesarbače	dāštand	ānjā	bāzi	mikardand,#	three	piece	little.boy	AUX.PST.3PL	there	PLaying	do.PST.IPFV.3PL,three little boys were playing around,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,51426,54211,#	ln_qu	ln_class	np.h:s_cp	aux	other:l	other:lvc	v:pred,,g1-f-01
g1-f-01_0012,mcpersian,in se tā pesarbače miāynd beheš komak mikonand Golābihā ra jam mikonand,#	in	se	tā	pesarbače	miāyand	#	0	be	=heš	komak	mikonand	#	0	Golābihā	=rā	jam	mikonand,#	this	three	piece	little.boy	come.PRS.IND.3PL	#	0	to	=PRO.3SG	help	do.PRS.IND.3PL	#	0	pear.PL	=ACC	collected	do.PRS.IND.3PL,these three boys come to help him gather the pears.,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,54211,58099,#	ln_dem	ln_qu	ln_class	np.h:s	v:pred	#	0.h:a	adp	=pro.h:p	other:lvc	v:pred	#	0.h:a	np:p	=rn_acc	other:lvc	v:pred,,g1-f-01
g1-f-01_0013,mcpersian,Pesar bačehe āmad ke dobāre savāre dočarxe beshavad beravad,#	Pesarbačehe	āmad	ke	dobāre	savāre	dočarxe	beshavad	#	0	beravad,#	little.boy.DEF	come.PST.PROSP.3SG	that	again	sitting	bike	become.PRS.SBJV.3SG	#	0	go.PRS.SBJV.3SG,the little boy wants to get on the bike and ride away,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,58099,62452,#	np.h:s	aux	ke	other	other:lvc	np:l	v:pred	#	0.h:s	v:pred,,g1-f-01
g1-f-01_0014,mcpersian,Yek dafe ān se tā pesar bače mibinand ke kolāhaš oftāde Sut mizanand miistad,#	Yekdafe	ān	se	tā	pesarbače	mibinand	#	ke	kolāh	=aš	oftāde	#	0	Sut	mizanand	#	0	miistad,#	suddenly	that	three	piece	little.boy	see.PRS.IND.3PL	#	that	hat	=POSS.3SG	fall.PST.PTCP	#	0	whistle	hit.PRS.IND.3PL	#	0	stop.PRS.IND.3SG,"Suddenly the three boys find out that the boy's hat was left there so they whistle to call him, he stops.",en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,62452,67688,#	other	ln_dem	ln_qu	ln_class	np.h:a	v:pred	#cc:p	ke	np:s	=rn_pro.h:poss	v:pred	#	0.h:s_cp	other:lvc	v:pred	#	0.h:s	v:pred,,g1-f-01
